Time,Punjabi Bagh/Nitrogen Dioxide(NO2),Punjabi Bagh/Wind Direction(WD),Punjabi Bagh/Solar Radiation(SR),Punjabi Bagh/Ammonia(NH3),Punjabi Bagh/Temperature(AT),Punjabi Bagh/Oxides of Nitrogen(NOx),Punjabi Bagh/Relative Humidity(RH),Punjabi Bagh/Carbon Monoxide(CO),Punjabi Bagh/P Xylene(PXY),Punjabi Bagh/Sulfur Dioxide(SO2),Punjabi Bagh/PM2.5(PM2.5),Punjabi Bagh/Toluene(Tol),Punjabi Bagh/Nitric Oxide(NO),Punjabi Bagh/Benzene(Ben),Punjabi Bagh/Ozone(O3),Punjabi Bagh/PM10(PM10),Punjabi Bagh/Bar Pressure(BP),Punjabi Bagh/Wind Speed(WS),Punjabi Bagh/Vertical Wind Speed(VWS)
19/04/2011 13:00:00,16.32,263.2,,23.58,,20.72,36.4,1.42,,,,,3.52,,,,,2.58,
19/04/2011 14:00:00,16.85,271.75,,22.13,,20.63,33.25,1.38,,,,,3.15,,,,,2.6,
24/04/2011 14:00:00,15.10,178.0,,21.8,,17.40,21.0,1.1,,17.9,,,2.00,,,,,1.6,
24/04/2011 15:00:00,13.98,227.33,,21.28,,16.93,21.0,1.26,,18.43,,,2.45,,,,,1.52,
24/04/2011 16:00:00,24.12,285.17,,22.47,,26.58,22.67,1.53,,23.57,,,2.48,,,,,1.87,
24/04/2011 17:00:00,36.15,293.17,,22.83,,37.75,25.5,1.68,,24.78,,,2.20,,,,,1.6,
24/04/2011 18:00:00,61.57,297.33,,23.3,,63.37,32.67,2.28,,27.85,,,3.17,,,,,1.03,
24/04/2011 19:00:00,85.43,297.67,,25.43,,92.18,38.33,3.08,,33.17,,,7.27,,,,,1.0,
24/04/2011 20:00:00,89.85,264.67,,27.53,,110.78,45.83,3.52,,36.02,,,17.10,,,,,0.45,
24/04/2011 21:00:00,97.53,232.5,,32.58,,216.82,58.0,6.52,,32.32,,,84.60,,,,,0.3,
24/04/2011 22:00:00,94.47,229.17,,35.7,,315.03,67.17,8.23,,31.38,,,153.70,,,,,0.33,
24/04/2011 23:00:00,89.93,180.0,,44.22,,480.65,73.67,9.92,,34.65,,,269.93,,,,,0.4,
25/04/2011 00:00:00,91.20,191.33,,46.15,,529.38,79.17,6.72,,40.45,,,302.40,,,,,0.37,
25/04/2011 01:00:00,89.83,195.33,,48.95,,363.75,75.17,4.3,,42.88,,,190.10,,,,,0.95,
25/04/2011 02:00:00,81.23,225.0,,50.57,,315.83,84.83,3.6,,55.4,,,162.92,,,,,0.57,
25/04/2011 03:00:00,79.67,240.33,,55.6,,411.10,92.17,4.38,,45.5,,,229.07,,,,,0.53,
25/04/2011 04:00:00,64.43,231.83,,61.77,,292.17,93.0,4.52,,48.85,,,157.75,,,,,0.33,
25/04/2011 05:00:00,60.10,230.83,,65.65,,264.78,91.67,3.48,,39.63,,,141.83,,,,,0.6,
25/04/2011 06:00:00,61.82,230.83,,67.03,,181.02,90.33,3.08,,44.5,,,83.43,,,,,0.43,
25/04/2011 07:00:00,90.35,220.0,,75.13,,135.72,80.17,3.08,,44.95,,,33.85,,,,,0.5,
25/04/2011 08:00:00,95.42,246.17,,70.88,,100.20,61.83,3.68,,73.7,,,6.22,,,,,0.8,
25/04/2011 09:00:00,77.75,268.0,,59.98,,79.12,47.17,3.07,,81.08,,,3.37,,,,,1.12,
25/04/2011 10:00:00,48.73,255.5,,46.6,,50.27,35.67,1.45,,66.05,,,2.55,,,,,1.18,
25/04/2011 11:00:00,34.48,210.5,,36.25,,36.92,26.17,0.7,,45.83,,,2.75,,,,,1.65,
25/04/2011 12:00:00,25.38,217.67,,29.65,,29.03,21.5,1.57,,25.75,,,3.33,,,,,1.78,
25/04/2011 13:00:00,20.78,224.83,,31.18,,22.57,21.83,1.4,,28.33,,,1.85,,,,,2.15,
25/04/2011 14:00:00,26.60,269.67,,30.28,,29.55,20.17,1.42,,30.68,,,2.85,,,,,2.27,
25/04/2011 15:00:00,27.27,271.33,,28.32,,29.20,18.33,1.3,,26.05,,,2.17,,,,,2.35,
25/04/2011 16:00:00,30.55,287.33,,31.28,,32.12,23.0,1.68,,31.52,,,2.03,,,,,2.23,
25/04/2011 17:00:00,41.60,296.5,,31.05,,43.68,25.83,1.78,,23.1,,,2.72,,,,,2.1,
25/04/2011 18:00:00,75.32,270.83,,32.07,,77.07,33.5,2.7,,23.83,,,3.55,,,,,0.73,
25/04/2011 19:00:00,106.45,231.83,,38.63,,125.98,48.17,4.18,,27.67,,,16.70,,,,,0.32,
25/04/2011 20:00:00,112.63,235.33,,45.12,,204.53,57.17,5.78,,39.15,,,66.33,,,,,0.35,
25/04/2011 21:00:00,107.17,242.5,,47.0,,144.63,56.17,4.93,,38.85,,,29.00,,,,,0.68,
25/04/2011 22:00:00,85.90,212.5,,45.45,,102.27,56.83,3.12,,36.87,,,13.92,,,,,0.47,
25/04/2011 23:00:00,92.38,210.67,,47.98,,141.18,61.33,3.76,,34.02,,,36.25,,,,,0.37,
26/04/2011 00:00:00,86.58,244.67,,46.03,,97.82,58.83,2.52,,81.7,,,10.38,,,,,0.33,
26/04/2011 01:00:00,75.33,186.17,,43.88,,136.62,67.5,2.85,,78.13,,,44.22,,,,,0.32,
26/04/2011 02:00:00,71.43,230.67,,46.5,,133.03,67.67,2.98,,95.43,,,44.38,,,,,0.4,
26/04/2011 03:00:00,71.40,161.67,,42.05,,147.22,67.33,2.78,,109.9,,,54.07,,,,,0.78,
26/04/2011 04:00:00,65.30,127.0,,36.7,,87.80,74.0,2.15,,80.18,,,17.43,,,,,1.6,
26/04/2011 05:00:00,32.37,141.33,,36.77,,35.03,91.17,1.3,,43.92,,,2.87,,,,,2.03,
26/04/2011 06:00:00,33.55,140.0,,45.6,,40.72,,1.32,,33.47,,,5.93,,,,,2.12,
26/04/2011 07:00:00,40.18,137.83,,58.9,,57.88,99.0,1.6,,29.58,,,13.38,,,,,2.42,
26/04/2011 08:00:00,34.37,140.83,,58.95,,45.37,88.0,1.85,,35.08,,,8.63,,,,,2.7,
26/04/2011 09:00:00,30.10,138.83,,45.62,,37.08,71.17,1.67,,28.15,,,5.75,,,,,3.3,
26/04/2011 10:00:00,29.73,142.5,,40.18,,36.75,65.33,1.7,,23.13,,,5.73,,,,,3.3,
26/04/2011 11:00:00,29.52,148.17,,39.28,,35.90,59.83,1.58,,21.77,,,5.27,,,,,3.38,
26/04/2011 12:00:00,30.57,148.67,,37.28,,36.35,52.0,1.8,,21.7,,,4.90,,,,,3.27,
26/04/2011 13:00:00,31.77,138.17,,36.77,,37.58,49.5,1.7,,21.35,,,4.97,,,,,2.88,
26/04/2011 14:00:00,30.42,146.83,,35.35,,35.92,46.83,1.55,,30.75,,,4.70,,,,,2.85,
26/04/2011 15:00:00,32.62,147.5,,33.23,,38.05,46.67,1.48,,28.75,,,4.72,,,,,2.65,
26/04/2011 16:00:00,44.72,130.67,,34.13,,50.85,50.67,1.85,,22.72,,,5.55,,,,,1.92,
26/04/2011 17:00:00,55.65,128.0,,33.97,,61.00,55.0,2.08,,26.5,,,5.38,,,,,1.73,
26/04/2011 18:00:00,69.55,121.83,,33.7,,90.08,63.0,2.42,,37.85,,,16.22,,,,,1.73,
26/04/2011 19:00:00,73.78,112.17,,36.1,,90.22,75.67,2.46,,63.92,,,13.55,,,,,2.02,
26/04/2011 20:00:00,63.72,130.17,,36.77,,75.40,77.17,1.92,,63.42,,,9.98,,,,,2.07,
26/04/2011 21:00:00,48.57,135.33,,33.25,,53.67,79.83,1.72,,30.35,,,5.02,,,,,1.98,
26/04/2011 22:00:00,45.02,133.5,,31.13,,48.98,83.17,1.57,,22.9,,,4.12,,,,,1.83,
26/04/2011 23:00:00,35.43,155.17,,30.72,,38.28,89.5,1.5,,21.63,,,3.05,,,,,1.9,
27/04/2011 00:00:00,25.67,155.17,,31.43,,27.85,97.0,1.65,,19.08,,,2.30,,,,,1.85,
27/04/2011 01:00:00,32.22,140.67,,31.9,,33.17,100.0,1.63,,34.3,,,1.65,,,,,1.55,
27/04/2011 02:00:00,40.25,154.5,,33.65,,42.30,,1.68,,78.0,,,2.68,,,,,1.85,
27/04/2011 03:00:00,30.32,154.5,,33.95,,31.62,,1.66,,55.17,,,1.85,,,,,1.37,
27/04/2011 04:00:00,29.50,167.0,,34.03,,31.27,,1.6,,28.83,,,2.15,,,,,1.58,
27/04/2011 05:00:00,31.13,158.0,,34.75,,33.15,,1.63,,22.5,,,2.35,,,,,1.33,
28/04/2011 16:00:00,27.06,190.83,,42.32,,26.76,37.33,3.18,,16.02,,,0.64,,,,,0.95,
28/04/2011 17:00:00,33.23,219.5,,46.68,,34.63,41.83,1.84,,9.82,,,2.02,,,,,0.53,
28/04/2011 18:00:00,92.60,181.83,,46.6,,93.00,49.83,3.3,,12.4,,,3.18,,,,,0.52,
28/04/2011 19:00:00,160.32,207.67,,48.57,,221.67,61.67,5.98,,7.5,,,46.93,,,,,0.32,
28/04/2011 20:00:00,165.45,155.5,,64.2,,351.78,68.33,8.6,,16.3,,,132.62,,,,,0.4,
28/04/2011 21:00:00,147.58,167.33,,68.38,,314.27,71.83,7.88,,16.8,,,118.58,,,,,0.33,
28/04/2011 22:00:00,133.15,213.0,,76.37,,318.82,80.83,8.12,,18.62,,,131.10,,,,,0.33,
28/04/2011 23:00:00,120.87,212.5,,74.68,,351.70,87.0,8.0,,21.18,,,161.60,,,,,0.37,
29/04/2011 00:00:00,134.33,175.17,,89.57,,388.15,87.5,6.08,,12.12,,,177.75,,,,,0.35,
29/04/2011 01:00:00,101.32,191.67,,81.75,,379.17,95.33,6.13,,10.88,,,193.12,,,,,0.4,
29/04/2011 02:00:00,106.33,212.33,,72.58,,374.48,92.0,4.78,,10.33,,,186.68,,,,,0.6,
29/04/2011 03:00:00,93.65,234.83,,89.85,,222.52,89.17,2.52,,6.5,,,91.02,,,,,0.58,
29/04/2011 04:00:00,54.48,242.83,,92.38,,108.78,86.17,2.45,,8.03,,,38.78,,,,,1.05,
29/04/2011 05:00:00,43.97,273.17,,83.58,,53.35,76.0,1.55,,58.97,,,7.80,,,,,1.27,
29/04/2011 06:00:00,50.22,272.83,,62.0,,61.32,66.5,1.07,,102.5,,,9.17,,,,,1.1,
29/04/2011 07:00:00,56.00,261.17,,51.0,,65.12,64.67,1.5,,86.68,,,7.98,,,,,0.97,
29/04/2011 08:00:00,53.12,267.5,,50.62,,59.98,56.5,2.5,,71.38,,,6.35,,,,,1.62,
29/04/2011 09:00:00,37.47,267.33,,48.23,,41.70,46.17,1.9,,61.28,,,4.07,,,,,2.05,
29/04/2011 10:00:00,26.52,296.0,,35.5,,31.62,30.83,1.18,,41.52,,,4.32,,,,,3.52,
29/04/2011 11:00:00,26.62,285.5,,28.22,,32.98,26.5,1.16,,25.27,,,5.18,,,,,3.55,
29/04/2011 12:00:00,22.93,288.33,,26.47,,27.53,22.67,1.4,,24.05,,,3.87,,,,,3.18,
29/04/2011 13:00:00,24.90,294.83,,25.77,,30.33,20.5,1.55,,20.77,,,4.47,,,,,3.37,
29/04/2011 14:00:00,26.22,289.5,,22.35,,32.65,21.0,1.62,,18.45,,,5.22,,,,,2.88,
29/04/2011 15:00:00,21.75,283.67,,21.12,,25.90,21.83,1.54,,19.52,,,3.52,,,,,3.25,
29/04/2011 16:00:00,19.48,292.0,,20.1,,23.37,23.17,1.47,,13.68,,,3.23,,,,,3.23,
29/04/2011 17:00:00,30.20,295.5,,21.37,,34.95,26.0,1.62,,14.62,,,4.15,,,,,2.47,
29/04/2011 18:00:00,66.60,243.17,,21.65,,80.93,32.67,2.55,,15.72,,,11.87,,,,,0.92,
29/04/2011 19:00:00,71.65,279.33,,23.03,,97.30,33.83,3.16,,23.68,,,19.77,,,,,1.17,
29/04/2011 20:00:00,59.68,290.5,,21.1,,82.63,33.0,2.38,,46.95,,,17.50,,,,,1.8,
29/04/2011 21:00:00,57.00,282.33,,18.62,,75.62,32.67,1.97,,41.53,,,14.50,,,,,1.63,
29/04/2011 22:00:00,60.13,256.83,,19.48,,80.58,37.33,2.0,,36.85,,,15.87,,,,,0.92,
29/04/2011 23:00:00,55.78,276.83,,21.05,,67.52,38.67,1.96,,66.08,,,9.77,,,,,0.77,
30/04/2011 00:00:00,53.55,238.0,,22.08,,62.23,42.67,2.17,,74.43,,,7.62,,,,,0.47,
30/04/2011 01:00:00,45.60,227.5,,24.93,,48.15,47.83,2.43,,63.97,,,3.18,,,,,0.35,
30/04/2011 02:00:00,41.57,213.5,,27.53,,45.12,50.83,2.55,,77.12,,,3.73,,,,,0.3,
30/04/2011 03:00:00,40.00,238.33,,28.78,,52.75,55.17,2.48,,55.65,,,9.97,,,,,0.65,
30/04/2011 04:00:00,32.97,247.17,,37.07,,38.37,55.67,2.73,,71.45,,,4.77,,,,,0.9,
30/04/2011 05:00:00,31.37,238.17,,27.67,,34.47,53.5,1.62,,46.8,,,3.10,,,,,1.08,
30/04/2011 06:00:00,34.02,233.33,,21.82,,39.65,54.0,1.48,,25.82,,,4.92,,,,,0.98,
30/04/2011 07:00:00,45.58,251.33,,21.78,,56.38,52.67,1.86,,28.75,,,8.83,,,,,0.98,
30/04/2011 08:00:00,36.90,257.0,,22.37,,44.48,49.17,1.83,,30.45,,,6.33,,,,,1.93,
30/04/2011 09:00:00,19.37,271.83,,24.0,,23.53,44.5,1.42,,28.75,,,3.45,,,,,2.43,
30/04/2011 10:00:00,13.48,245.0,,24.8,,17.32,35.83,1.22,,27.67,,,3.07,,,,,2.48,
30/04/2011 11:00:00,16.63,248.0,,21.7,,20.85,31.0,1.28,,17.18,,,3.42,,,,,2.27,
30/04/2011 12:00:00,21.28,265.5,,21.03,,26.33,30.33,1.45,,18.83,,,4.20,,,,,2.58,
30/04/2011 13:00:00,16.80,224.0,,21.6,,22.90,30.0,1.5,,14.0,,,4.70,,,,,2.7,
30/04/2011 21:00:00,68.18,283.5,,19.7,,133.84,44.5,3.28,,40.12,,,47.00,,,,,0.83,
30/04/2011 22:00:00,62.12,260.83,,24.13,,142.60,50.0,3.85,,77.3,,,56.98,,,,,0.52,
30/04/2011 23:00:00,58.35,265.33,,27.73,,133.17,52.33,3.56,,74.92,,,52.98,,,,,0.63,
01/05/2011 00:00:00,51.17,279.17,,32.78,,102.63,53.33,3.03,,132.88,,,36.78,,,,,0.73,
01/05/2011 01:00:00,48.18,219.83,,27.75,,84.88,56.33,2.48,,111.85,,,26.60,,,,,0.58,
01/05/2011 02:00:00,45.38,229.83,,27.87,,101.13,63.83,2.47,,76.33,,,39.55,,,,,0.38,
01/05/2011 03:00:00,42.78,244.33,,33.8,,101.12,68.0,2.36,,55.6,,,41.18,,,,,0.77,
01/05/2011 04:00:00,37.80,235.67,,35.9,,52.68,64.5,1.98,,50.38,,,11.37,,,,,1.1,
01/05/2011 05:00:00,31.27,251.67,,31.17,,34.80,64.17,2.02,,71.33,,,3.40,,,,,1.03,
01/05/2011 06:00:00,34.93,234.0,,24.53,,42.87,66.0,1.82,,47.53,,,6.50,,,,,1.05,
01/05/2011 07:00:00,35.35,275.5,,25.83,,42.03,62.83,2.0,,41.02,,,5.72,,,,,1.38,
01/05/2011 08:00:00,32.98,259.0,,31.92,,36.83,57.33,3.07,,95.73,,,3.68,,,,,1.45,
01/05/2011 09:00:00,36.88,247.33,,32.02,,39.07,50.33,3.07,,93.83,,,2.67,,,,,1.28,
01/05/2011 10:00:00,33.28,253.0,,31.32,,35.45,39.33,2.28,,98.88,,,2.52,,,,,1.72,
01/05/2011 11:00:00,21.85,270.67,,21.27,,24.65,27.0,1.38,,64.03,,,2.58,,,,,2.23,
01/05/2011 12:00:00,16.95,280.5,,14.52,,20.55,20.67,1.4,,20.87,,,2.98,,,,,3.17,
01/05/2011 13:00:00,17.93,273.67,,11.7,,21.58,20.33,1.38,,15.88,,,3.03,,,,,3.13,
01/05/2011 14:00:00,14.65,276.5,,10.95,,17.90,20.0,1.38,,16.0,,,2.70,,,,,3.18,
01/05/2011 15:00:00,16.03,279.33,,9.87,,19.30,18.33,1.34,,14.28,,,2.75,,,,,3.17,
01/05/2011 16:00:00,18.90,289.83,,9.48,,22.75,17.17,1.3,,9.27,,,3.22,,,,,3.28,
01/05/2011 17:00:00,20.30,283.33,,8.88,,23.50,19.0,1.35,,13.63,,,2.83,,,,,2.88,
01/05/2011 18:00:00,29.92,274.0,,9.08,,32.87,21.67,1.52,,13.25,,,2.98,,,,,2.15,
01/05/2011 19:00:00,32.27,271.83,,11.2,,34.47,27.17,1.68,,17.67,,,2.52,,,,,1.98,
01/05/2011 20:00:00,46.10,285.83,,11.25,,53.67,30.5,2.18,,27.05,,,6.60,,,,,2.07,
01/05/2011 21:00:00,52.35,292.83,,12.48,,67.57,32.83,2.45,,22.27,,,12.03,,,,,1.68,
01/05/2011 22:00:00,50.42,180.17,,14.68,,58.25,44.67,2.38,,31.6,,,6.93,,,,,2.17,
01/05/2011 23:00:00,35.48,85.17,,15.67,,39.90,61.83,1.98,,43.8,,,4.13,,,,,1.82,
02/05/2011 00:00:00,51.18,173.33,,19.52,,53.27,61.33,1.73,,44.43,,,3.02,,,,,1.12,
02/05/2011 01:00:00,46.17,137.0,,22.58,,48.45,61.17,1.7,,37.75,,,2.98,,,,,0.73,
02/05/2011 02:00:00,56.92,188.17,,21.63,,63.33,64.0,1.87,,36.28,,,6.17,,,,,0.7,
02/05/2011 03:00:00,65.52,223.83,,21.63,,98.75,67.17,2.0,,38.03,,,24.77,,,,,1.35,
02/05/2011 04:00:00,52.73,239.67,,23.52,,62.20,62.67,1.88,,57.23,,,8.12,,,,,1.3,
02/05/2011 05:00:00,30.65,245.33,,20.52,,34.33,52.67,1.48,,49.62,,,3.47,,,,,1.83,
02/05/2011 06:00:00,22.88,261.5,,18.1,,25.63,50.5,1.47,,33.32,,,2.62,,,,,1.8,
02/05/2011 07:00:00,32.05,256.5,,16.05,,38.95,51.17,1.64,,26.75,,,5.72,,,,,2.07,
02/05/2011 08:00:00,23.75,269.0,,17.32,,29.33,52.0,1.78,,21.13,,,4.55,,,,,2.28,
02/05/2011 09:00:00,21.82,265.17,,20.32,,24.52,46.5,1.95,,26.9,,,2.53,,,,,2.1,
02/05/2011 10:00:00,18.20,262.5,,22.55,,22.17,38.83,1.68,,29.8,,,3.30,,,,,2.22,
02/05/2011 11:00:00,18.03,247.5,,23.97,,21.73,32.0,1.64,,29.3,,,3.08,,,,,1.78,
02/05/2011 12:00:00,22.53,262.0,,19.82,,27.12,24.17,1.67,,25.98,,,3.83,,,,,2.37,
02/05/2011 13:00:00,25.53,270.0,,15.42,,29.47,24.0,1.83,,21.33,,,3.48,,,,,2.45,
02/05/2011 14:00:00,25.83,291.67,,14.58,,32.37,24.33,1.78,,19.85,,,5.30,,,,,2.65,
02/05/2011 15:00:00,21.60,278.0,,14.35,,25.15,23.5,1.62,,17.75,,,3.08,,,,,2.75,
02/05/2011 16:00:00,26.00,285.67,,14.48,,30.03,24.0,1.57,,17.72,,,3.57,,,,,2.6,
02/05/2011 17:00:00,28.02,295.67,,12.58,,31.02,24.67,1.6,,17.72,,,2.93,,,,,2.23,
02/05/2011 18:00:00,63.53,144.83,,15.37,,72.90,34.33,2.3,,22.13,,,8.40,,,,,1.65,
02/05/2011 19:00:00,89.28,88.17,,17.72,,107.00,46.0,2.9,,52.9,,,14.93,,,,,1.3,
02/05/2011 20:00:00,85.78,81.33,,23.88,,105.20,50.33,3.2,,56.3,,,15.95,,,,,1.02,
02/05/2011 21:00:00,90.62,154.67,,27.97,,111.65,53.17,3.53,,59.1,,,17.20,,,,,0.63,
02/05/2011 22:00:00,92.08,112.67,,26.85,,156.40,55.33,3.93,,70.5,,,46.85,,,,,1.28,
02/05/2011 23:00:00,78.68,102.17,,27.77,,101.58,59.67,2.48,,139.35,,,18.10,,,,,0.92,
03/05/2011 00:00:00,66.15,147.17,,26.8,,73.68,63.83,2.37,,79.2,,,7.23,,,,,0.38,
03/05/2011 01:00:00,69.83,92.33,,30.53,,85.60,62.67,2.2,,82.45,,,12.97,,,,,0.7,
03/05/2011 02:00:00,61.50,105.33,,28.85,,75.55,65.67,2.05,,77.58,,,11.53,,,,,0.55,
03/05/2011 03:00:00,61.65,185.17,,29.88,,92.17,71.17,2.16,,72.82,,,22.82,,,,,0.67,
03/05/2011 04:00:00,69.20,183.17,,31.38,,95.55,71.0,2.08,,63.15,,,20.17,,,,,0.97,
03/05/2011 05:00:00,72.30,198.0,,31.9,,138.67,74.17,2.53,,62.13,,,47.63,,,,,1.03,
03/05/2011 06:00:00,74.58,215.67,,37.45,,169.93,78.33,3.05,,70.73,,,67.53,,,,,0.7,
03/05/2011 07:00:00,91.07,197.67,,41.77,,159.12,68.83,2.84,,90.0,,,49.35,,,,,0.95,
03/05/2011 08:00:00,53.67,244.67,,40.53,,63.52,55.17,1.63,,75.78,,,8.42,,,,,2.05,
03/05/2011 09:00:00,24.57,269.33,,35.15,,28.43,48.17,1.27,,52.37,,,3.38,,,,,2.23,
03/05/2011 10:00:00,21.50,268.33,,30.42,,26.00,41.5,1.35,,35.45,,,3.72,,,,,2.37,
03/05/2011 11:00:00,20.08,266.33,,30.53,,23.85,35.0,1.08,,33.05,,,3.23,,,,,2.28,
03/05/2011 12:00:00,21.82,272.67,,30.45,,25.42,26.5,1.52,,30.55,,,3.15,,,,,2.33,
03/05/2011 13:00:00,23.82,278.67,,23.65,,27.63,25.33,1.58,,26.4,,,3.37,,,,,2.6,
03/05/2011 14:00:00,28.62,285.17,,20.8,,33.87,24.83,1.67,,22.48,,,4.47,,,,,3.18,
03/05/2011 15:00:00,24.03,245.0,,19.93,,27.03,23.83,1.6,,20.2,,,2.85,,,,,2.68,
03/05/2011 16:00:00,23.72,276.5,,18.55,,26.55,22.83,1.52,,14.58,,,2.68,,,,,2.28,
03/05/2011 17:00:00,29.13,285.33,,17.8,,32.57,24.0,1.6,,15.4,,,3.25,,,,,2.57,
03/05/2011 18:00:00,16.95,272.5,,16.02,,19.03,30.83,1.43,,13.67,,,2.74,,,,,3.83,
03/05/2011 19:00:00,19.37,259.33,,14.8,,22.57,34.5,1.4,,13.38,,,2.78,,,,,3.53,
03/05/2011 20:00:00,25.05,253.33,,13.88,,26.62,40.5,1.75,,12.33,,,1.85,,,,,2.6,
03/05/2011 21:00:00,24.87,257.17,,13.98,,26.25,43.33,1.68,,15.02,,,1.72,,,,,2.7,
03/05/2011 22:00:00,15.63,262.83,,16.42,,16.90,47.0,1.45,,15.08,,,1.37,,,,,3.0,
03/05/2011 23:00:00,12.78,265.17,,17.4,,14.98,50.0,1.42,,19.7,,,1.90,,,,,2.43,
04/05/2011 00:00:00,11.95,264.17,,16.55,,13.60,51.33,1.52,,19.42,,,1.52,,,,,2.02,
04/05/2011 01:00:00,12.27,250.67,,19.4,,14.58,53.0,1.63,,20.73,,,1.95,,,,,1.7,
04/05/2011 02:00:00,11.88,265.0,,17.23,,13.22,57.5,1.45,,16.92,,,1.30,,,,,1.78,
04/05/2011 03:00:00,9.87,267.0,,18.87,,11.45,62.5,1.44,,14.7,,,1.38,,,,,2.1,
04/05/2011 04:00:00,10.50,278.33,,22.3,,12.17,67.67,1.5,,24.9,,,1.47,,,,,1.4,
04/05/2011 05:00:00,23.05,289.17,,21.97,,24.35,69.0,1.5,,27.95,,,1.62,,,,,1.2,
04/05/2011 06:00:00,39.62,268.67,,21.87,,53.27,70.33,1.82,,24.68,,,10.58,,,,,0.88,
04/05/2011 07:00:00,46.35,74.17,,25.73,,74.57,67.0,2.32,,26.43,,,20.77,,,,,1.6,
04/05/2011 08:00:00,34.55,156.67,,21.7,,50.70,62.5,1.77,,35.07,,,12.22,,,,,1.18,
04/05/2011 09:00:00,44.82,178.0,,25.53,,49.32,63.5,2.17,,63.3,,,4.50,,,,,0.87,
04/05/2011 10:00:00,41.25,163.0,,26.27,,45.73,56.33,2.23,,58.88,,,4.37,,,,,0.8,
04/05/2011 11:00:00,39.55,226.17,,30.53,,42.32,55.83,1.9,,52.33,,,3.12,,,,,1.23,
04/05/2011 12:00:00,54.80,236.83,,29.42,,59.10,55.33,2.32,,33.68,,,4.65,,,,,2.5,
04/05/2011 13:00:00,24.77,255.83,,32.17,,27.45,47.5,1.48,,31.52,,,2.62,,,,,2.2,
04/05/2011 14:00:00,25.70,220.5,,28.45,,28.17,44.83,1.4,,25.97,,,2.50,,,,,1.77,
04/05/2011 15:00:00,22.08,180.83,,25.58,,24.63,42.67,1.34,,18.48,,,2.43,,,,,1.4,
04/05/2011 16:00:00,26.95,169.5,,26.68,,29.30,42.83,1.67,,17.13,,,2.45,,,,,1.17,
04/05/2011 17:00:00,19.55,252.17,,28.73,,21.67,43.17,1.38,,18.27,,,2.05,,,,,2.1,
04/05/2011 18:00:00,28.43,252.83,,30.72,,29.72,44.0,1.6,,21.45,,,1.77,,,,,2.15,
04/05/2011 19:00:00,49.62,249.0,,26.03,,50.92,47.33,1.88,,20.1,,,2.42,,,,,1.48,
04/05/2011 20:00:00,54.37,231.5,,24.15,,56.15,50.0,2.68,,11.95,,,2.90,,,,,1.4,
04/05/2011 21:00:00,66.88,229.83,,22.32,,80.48,55.5,2.88,,8.98,,,11.42,,,,,1.42,
04/05/2011 22:00:00,64.27,230.17,,23.23,,85.53,58.17,3.0,,13.27,,,16.60,,,,,1.22,
04/05/2011 23:00:00,58.82,251.5,,27.05,,80.42,57.0,2.32,,19.3,,,16.62,,,,,1.52,
05/05/2011 00:00:00,21.78,169.83,,26.38,,23.58,77.5,1.18,,25.47,,,1.92,,,,,2.63,
05/05/2011 01:00:00,33.92,131.5,,25.48,,37.22,98.83,1.33,,19.12,,,3.30,,,,,1.35,
05/05/2011 02:00:00,33.63,138.0,,41.68,,36.95,97.0,1.38,,14.15,,,3.32,,,,,1.57,
05/05/2011 03:00:00,19.17,129.17,,46.45,,21.42,97.67,1.24,,13.82,,,2.13,,,,,1.72,
05/05/2011 04:00:00,18.95,144.17,,52.12,,20.47,95.33,1.53,,8.27,,,1.62,,,,,1.58,
05/05/2011 05:00:00,34.83,115.0,,53.13,,37.18,97.0,1.67,,7.67,,,2.70,,,,,1.28,
05/05/2011 06:00:00,34.13,95.67,,56.8,,47.95,,2.28,,7.92,,,10.48,,,,,1.6,
05/05/2011 07:00:00,36.98,155.5,,47.2,,52.48,,2.42,,8.5,,,11.77,,,,,1.85,
05/05/2011 08:00:00,29.83,171.83,,48.08,,35.23,,1.85,,6.6,,,4.62,,,,,2.53,
05/05/2011 09:00:00,35.97,182.17,,48.97,,41.55,,2.15,,4.77,,,4.92,,,,,3.0,
05/05/2011 10:00:00,47.72,128.5,,42.2,,63.03,99.5,2.88,,6.4,,,11.95,,,,,1.43,
05/05/2011 11:00:00,43.48,122.5,,46.37,,57.83,87.67,2.44,,6.03,,,11.18,,,,,1.85,
05/05/2011 12:00:00,60.33,122.67,,39.67,,69.03,80.5,2.18,,9.08,,,7.87,,,,,1.83,
05/05/2011 13:00:00,54.57,121.0,,40.47,,60.35,70.67,2.23,,8.8,,,5.68,,,,,1.95,
05/05/2011 14:00:00,53.40,134.67,,49.7,,58.52,67.0,2.18,,9.37,,,5.17,,,,,1.48,
05/05/2011 15:00:00,49.63,133.67,,63.52,,52.48,61.17,1.98,,7.88,,,3.48,,,,,1.4,
05/05/2011 16:00:00,50.73,96.0,,56.9,,54.85,59.83,2.1,,9.63,,,4.42,,,,,1.45,
05/05/2011 17:00:00,70.75,135.33,,52.9,,76.10,62.5,2.32,,8.83,,,5.85,,,,,1.03,
05/05/2011 18:00:00,84.90,143.17,,40.22,,90.88,66.17,2.78,,6.08,,,6.73,,,,,0.85,
